store,month,sales,price,promo
14,9,109.05,0.83545,0
14,10,116.43,0.85357,0
14,11,120.24,0.68322,1
14,12,112.66,0.86387,0
15,1,87.72,1.593,0
15,2,101.44,1.6576,0
15,3,103.82,1.4183,0
15,4,113.79,1.4712,0
15,5,77.73,1.6788,0
15,6,118.64,1.4489,0
15,7,112.73,1.4074,0
15,8,107.71,1.5358,0
15,9,136.33,1.6321,0
15,10,167.63,1.5682,0
15,11,128.78,1.5029,0
15,12,129.41,1.7597,0
16,1,93.431,1.9292,0
16,2,137.8,2.0962,0
16,3,106.6,2.0172,0
16,4,127.53,1.8602,0
16,5,55.507,1.8842,0
16,6,98.8,2.0812,0
16,7,119.48,1.9779,0
16,8,140.45,1.82,0
16,9,133.04,1.8243,0
16,10,95.778,1.9882,0
16,11,106.63,1.9925,0
16,12,94.122,1.9831,0
17,1,116.34,2.8985,0
17,2,102.63,2.8433,0
17,3,143.91,2.7558,1
17,4,122.42,2.761,0
17,5,137.79,2.8202,0
17,6,98.148,2.8449,0
17,7,132.42,3.0379,0
17,8,84.658,2.8836,0
17,9,140.78,3.0032,0
17,10,115.77,2.7573,1
17,11,105.63,2.9205,0
17,12,125.24,2.9972,0
18,1,114.73,2.8599,0
18,2,140.42,2.7321,0
18,3,122,2.5679,0
18,4,126.06,2.6193,0
18,5,116.17,2.5629,1
18,6,117.83,2.682,1
18,7,88.056,2.7425,0
18,8,108,2.7815,0
18,9,112.28,2.8287,0
18,10,136.07,2.769,1
18,11,144.2,2.7559,0
18,12,110.69,2.7973,0
19,1,69.807,3.1206,0
19,2,85.613,3.0548,0
19,3,104.57,2.9771,0
19,4,122.91,2.8165,0
19,5,133.67,2.9554,0
19,6,117.25,2.8838,0
19,7,133.36,2.8954,0
19,8,132.65,2.8446,0
19,9,97.736,3.0087,0
19,10,137.3,3.0541,0
19,11,97.059,3.2022,0
19,12,115.11,2.7923,0
20,1,117.31,3.0539,1
20,2,104.37,3.141,0
20,3,107.12,3.2039,0
20,4,107.98,3.1086,0
20,5,137.54,3.2763,0
20,6,100.59,3.1764,0
20,7,79.973,3.384,0
20,8,66.489,3.2694,0
20,9,102.67,3.0548,0
20,10,97.648,3.2529,0
20,11,195.1,3.2434,1
20,12,133.12,3.3632,0
21,1,83.184,3.1712,0
21,2,111.54,3.1089,0
21,3,136.08,3.1436,0
21,4,112.19,3.2479,0
21,5,118.82,3.123,1
21,6,136.76,3.2529,0
21,7,112.87,3.0889,0
21,8,86.013,3.1128,0
21,9,122.86,3.3862,1
21,10,130.44,3.2848,0
21,11,154.28,3.3442,1
21,12,116.38,3.1579,0
22,1,106.39,3.2224,1
22,2,148.68,3.0508,1
22,3,122.9,3.0682,0
22,4,56.643,3.2747,0
22,5,102.1,3.1854,1
22,6,106.77,3.2092,0
22,7,114.09,3.2642,1
22,8,98.268,3.2929,0
22,9,110.16,3.1966,0
22,10,135.84,3.2741,0
22,11,147.45,3.227,0
22,12,116.13,3.1768,0
23,1,105.37,3.4677,0
23,2,106.94,3.3221,1
23,3,105.72,3.3825,1
23,4,108.11,3.4205,0
23,5,135.53,3.2856,0
23,6,110.12,3.4847,0
23,7,117.03,3.4699,0
23,8,89.987,3.6322,0
23,9,118.01,3.387,1
23,10,85.012,3.7049,0
23,11,173.4,3.6905,0
23,12,135.73,3.5093,0
24,1,112.04,2.7951,0
24,2,67.942,2.9941,0
24,3,97.394,3.0974,0
24,4,98.043,2.9516,0
24,5,102.72,2.9845,0
24,6,71.701,3.1102,0
24,7,118.43,3.0672,0
24,8,99.668,3.0858,0
24,9,98.213,3.2322,0
24,10,103.85,3.1097,0
24,11,146.53,3.087,0
24,12,90.134,3.022,0
25,1,90.604,3.1284,0
25,2,78.601,2.9057,0
25,3,109.54,2.9638,0
25,4,122.66,2.811,0
25,5,101.21,3.1734,0
25,6,79.202,2.9729,0
25,7,149.31,2.9829,1
25,8,109.93,3.008,0
25,9,118.72,2.9503,0
25,10,87.542,2.9869,0
25,11,111.63,3.0208,1
25,12,123.11,3.111,1
26,1,119.68,3.4083,0
26,2,101.74,3.5643,1
26,3,122.42,3.6365,0
26,4,115.86,3.7154,0
26,5,123.58,3.5811,0
26,6,142.43,3.5406,0
26,7,128.24,3.5903,0
26,8,95.296,3.5562,0
26,9,137.96,3.5876,0
26,10,133.31,3.8722,0
26,11,108.48,3.4499,0
26,12,86.791,3.8693,0
27,1,132.16,3.2441,0
27,2,139,3.1125,0
27,3,89.133,3.2938,1
27,4,135.2,3.274,0
27,5,126.56,3.3914,0
27,6,105.65,3.2787,1
27,7,152.26,3.3688,0
27,8,139.97,3.2677,0
27,9,114.94,3.41,0
27,10,91.373,3.5307,0
27,11,95.483,3.2385,0
27,12,84.51,3.4883,0
28,1,115.83,2.1265,0
28,2,134.97,2.2798,0
28,3,95.236,2.1314,1
28,4,101.48,2.1018,0
28,5,91.203,2.2913,0
28,6,128.96,2.1956,0
28,7,135.31,2.354,0
28,8,111.98,2.4076,1
28,9,89.32,2.3151,0
28,10,145.49,2.1506,0
28,11,133.98,2.3989,0
28,12,107.25,2.4288,0
29,1,86.222,3.6058,1
29,2,128.66,3.5479,1
29,3,75.823,3.7215,1
29,4,113.27,3.6496,0
29,5,116.55,3.5825,0
29,6,134.33,3.7134,0
29,7,130.2,3.7118,0
29,8,121.41,3.7473,0
29,9,144.01,3.8336,0
29,10,138.86,3.6944,0
29,11,82.965,3.6074,0
29,12,132.66,3.6414,0
30,1,123.05,3.3489,1
30,2,100.29,3.2544,0
30,3,112.8,3.1957,1
30,4,99.787,3.3055,0
30,5,157.99,3.4871,0
30,6,94.684,3.4734,0
30,7,101.21,3.2421,0
30,8,148.4,3.3427,0
30,9,105.47,3.3414,0
30,10,126.89,3.1506,0
30,11,126.14,3.4154,1
30,12,109.42,3.5148,0
31,1,119.47,3.2169,1
31,2,61.85,3.4629,0
31,3,115.88,3.4097,0
31,4,123.13,3.342,0
31,5,119.69,3.2561,0
31,6,130.88,3.4959,0
31,7,117.61,3.3249,0
31,8,143.5,3.2941,1
31,9,132.87,3.4409,0
31,10,130.43,3.5185,0
31,11,137.33,3.2686,0
31,12,121.35,3.5536,0
32,1,103.52,3.4847,0
32,2,87.969,3.486,0
32,3,101.82,3.7651,0
32,4,101.34,3.5129,0
32,5,130.56,3.6014,0
32,6,136.03,3.4844,0
32,7,119.62,3.6584,0
32,8,123.16,3.4978,1
32,9,161.17,3.5987,1
32,10,134.15,3.6545,0
32,11,131.52,3.5866,0
32,12,102.32,3.7015,0
33,1,121.57,3.5085,0
33,2,89.53,3.5466,1
33,3,118.3,3.3693,0
33,4,103.83,3.7747,0
33,5,96.431,3.6228,1
33,6,99.737,3.425,0
33,7,121.93,3.5121,0
33,8,117.54,3.4932,0
33,9,89.446,3.6169,0
33,10,97.292,3.4565,0
33,11,131.22,3.6962,0
33,12,98.472,3.6748,0
34,1,65.953,2.8115,0
34,2,147.63,2.8344,0
34,3,102.22,2.9304,0
34,4,125.8,2.9444,0
34,5,109.17,2.9067,0
34,6,91.713,2.8725,0
34,7,132.84,2.8388,0
34,8,126.57,2.9358,0
34,9,124.12,2.8478,0
34,10,90.057,2.9976,0
34,11,131.49,3.1334,0
34,12,126.46,2.79,0
35,1,87.38,4.1129,0
35,2,112.41,4.154,1
35,3,101.68,4.0239,1
35,4,106.26,4.0104,0
35,5,118.38,4.0713,0
35,6,117.19,4.0796,0
35,7,133.36,3.9474,0
35,8,92.313,4.1805,0
35,9,155.1,4.0639,1
35,10,77.14,4.2606,0
35,11,136.86,3.9856,0
35,12,136.29,3.9943,0
36,1,112.63,3.5505,0
36,2,130.84,3.5923,0
36,3,135.96,3.6874,0
36,4,103.72,3.4242,0
36,5,96.785,3.6838,0
36,6,133.24,3.7227,0
36,7,146.5,3.6478,0
36,8,121.4,3.6062,0
36,9,150.42,3.6184,0
36,10,121.99,3.7395,0
36,11,115.93,3.7336,0
36,12,100.29,3.5843,0
37,1,122.22,3.2327,0
37,2,135.43,3.3135,0
37,3,104.56,3.3155,0
37,4,76.005,3.6171,0
37,5,95.981,3.4093,0
37,6,131.69,3.4967,0
37,7,117.68,3.6,1
37,8,133.44,3.5746,1
37,9,97.156,3.5113,0
37,10,108.41,3.7441,0
37,11,119.96,3.6305,0
37,12,127.51,3.5229,0
38,1,142.14,3.2376,0
38,2,95.16,3.0074,0
38,3,144.42,3.1334,1
38,4,100.69,3.1432,0
38,5,152.6,2.9957,1
38,6,110.44,3.0683,0
38,7,124.49,3.1508,0
38,8,101.12,3.2647,0
38,9,140.91,3.1432,0
38,10,121.44,3.2151,0
38,11,124.14,3.2848,1
38,12,143.35,2.8689,0
39,1,141.49,3.7169,0
39,2,112.8,3.8676,1
39,3,98.847,3.7409,0
39,4,80.818,4.0372,0
39,5,122.57,3.923,0
39,6,99.295,3.7183,0
39,7,127.46,3.7987,0
39,8,131.3,4.0015,0
39,9,108.17,3.761,0
39,10,121.9,3.8476,0
39,11,94.336,3.733,0
39,12,133.12,3.9129,0
40,1,101.74,1.3887,0
40,2,120.32,1.3313,0
40,3,122.12,1.406,0
40,4,79.883,1.3477,0
40,5,122.74,1.598,0
40,6,94.917,1.609,0
40,7,97.95,1.5448,0
40,8,101.63,1.6749,0
40,9,117.45,1.4275,0
40,10,134.41,1.2656,0
40,11,141.48,1.5801,1
40,12,156.95,1.4614,0
41,1,100.7,2.8997,0
41,2,139.78,2.8598,0
41,3,93.542,2.9719,1
41,4,87.161,3.0239,1
41,5,103.77,3.1134,0
41,6,150.65,2.9266,0
41,7,132.66,2.9587,0
41,8,155.35,2.8188,0
41,9,98.406,3.1905,0
41,10,129.69,3.049,0
41,11,100.49,3.062,0
41,12,112.83,3.1535,1
42,1,120.05,1.129,0
42,2,72.805,1.2149,0
42,3,65.641,1.2061,0
42,4,110.07,1.0317,0
42,5,95.187,1.1022,0
42,6,113.77,1.2162,0
42,7,112.71,1.4165,0
42,8,120.76,1.2472,0
42,9,116.95,1.0193,0
42,10,127.52,1.3271,0
42,11,138.55,1.2863,0
42,12,112.42,1.4145,1
43,1,99.59,3.375,0
43,2,91.42,3.3758,1
43,3,121.26,3.2742,0
43,4,130.01,3.5391,0
43,5,119.17,3.3479,0
43,6,96.306,3.2484,0
43,7,97.908,3.3789,0
43,8,139.62,3.3816,0
43,9,128.91,3.3533,0
43,10,126.66,3.2813,0
43,11,131.46,3.2813,0
43,12,124.24,3.5114,1
44,1,116.46,3.9654,0
44,2,96.518,3.9129,1
44,3,96.78,3.9652,0
44,4,111.72,3.8836,0
44,5,122.39,3.7278,0
44,6,143.94,4.0146,0
44,7,82.017,3.8839,0
44,8,120.5,3.9573,1
44,9,132.72,3.9322,1
44,10,131.72,3.9836,0
44,11,122.11,3.8713,0
44,12,108.94,4.1139,0
45,1,144.54,2.6957,0
45,2,131.24,2.6281,1
45,3,128.78,2.7503,0
45,4,145.02,2.5788,0
45,5,114.82,2.6812,0
45,6,88.922,2.7614,0
45,7,89.095,2.6757,0
45,8,119.98,2.6718,1
45,9,126.74,2.7475,1
45,10,133.66,2.6307,0
45,11,124.86,2.7741,1
45,12,109.57,2.8724,0
46,1,119.57,2.5959,0
46,2,88.996,2.5981,0
46,3,126.42,2.6561,0
46,4,103.9,2.7712,0
46,5,145.6,2.8334,0
46,6,132.3,2.6744,0
46,7,114.99,2.5383,0
46,8,113.05,2.8302,0
46,9,135.86,2.6447,0
46,10,105.82,2.6969,0
46,11,105.38,2.9044,0
46,12,116.87,2.706,0
47,1,152.49,4.3719,0
47,2,120.46,4.2297,0
47,3,110.76,4.1261,0
47,4,111.94,4.0769,1
47,5,83.454,4.109,0
47,6,138.51,4.2149,1
47,7,127.76,4.1908,1
47,8,87.352,4.1548,0
47,9,122.26,4.446,0
47,10,81.687,4.054,0
47,11,115.68,4.26,0
47,12,96.351,4.4471,0
48,1,118.47,2.5067,0
48,2,104.11,2.3844,0
48,3,80.962,2.4111,0
48,4,86.489,2.8417,0
48,5,94.257,2.6175,0
48,6,81.236,2.3907,0
48,7,108.53,2.5651,0
48,8,106.45,2.5727,0
48,9,162.05,2.4319,0
48,10,96.178,2.5761,0
48,11,127.01,2.4036,0
48,12,128.81,2.5042,0
49,1,96.892,2.9308,0
49,2,81.923,2.9201,1
49,3,82.599,3.0774,0
49,4,91.35,2.9307,0
49,5,123.64,2.9756,0
49,6,102.14,3.1167,0
49,7,109.73,3.189,1
49,8,119.2,3.1633,1
49,9,116.87,3.1688,0
49,10,159.04,3.1137,0
49,11,159.08,3.1586,0
49,12,92.198,3.1121,0
50,1,128.03,4.2439,0
50,2,157.93,4.4707,1
50,3,133.19,4.5023,0
50,4,111.22,4.5916,0
50,5,87.792,4.6144,1
50,6,147.7,4.4973,1
50,7,89.026,4.6629,0
50,8,137.72,4.4679,0
50,9,119.72,4.5633,0
50,10,83.097,4.438,1
50,11,96.79,4.5406,1
50,12,94.584,4.643,0
51,1,107.85,3.3717,0
51,2,111.9,3.1621,0
51,3,135.41,3.2362,0
51,4,109.81,3.3119,0
51,5,82.512,3.1696,0
51,6,131.1,3.2114,0
51,7,115.46,3.3004,0
51,8,115.11,3.4114,0
51,9,164.29,3.2682,0
51,10,94.566,3.3408,1
51,11,124.18,3.3635,1
51,12,111.97,3.5369,0
52,1,130.01,3.8391,0
52,2,89.287,4.2308,0
52,3,128.11,4.022,1
52,4,123.91,3.9223,0
52,5,134.15,4.0121,0
52,6,103.8,3.9201,0
52,7,72.726,4.0603,0
52,8,132.99,4.0259,0
52,9,155.6,4.1106,0
52,10,102.32,3.9712,0
52,11,110.86,3.9757,1
52,12,92.116,4.0346,0
53,1,109.78,3.7678,0
53,2,127.28,3.7954,0
53,3,75.135,3.8719,0
53,4,121.73,3.7201,0
53,5,134.2,3.6983,1
53,6,78.07,3.8674,1
53,7,92.374,3.7859,0
53,8,99.746,3.9699,0
53,9,122.05,3.7379,0
53,10,111.32,3.8736,1
53,11,131.64,3.8214,0
53,12,122.24,3.8433,0
54,1,120.52,2.9362,1
54,2,96.895,3.1539,0
54,3,114.44,3.1615,0
54,4,127.33,3.2747,1
54,5,81.8,3.1704,0
54,6,132.91,3.1049,0
54,7,109.91,3.2987,0
54,8,96.641,3.4109,1
54,9,147.95,3.0763,0
54,10,101.75,3.0644,0
54,11,133.58,3.0327,0
54,12,141.33,3.1894,0
55,1,92.534,2.9367,0
55,2,87.223,2.9197,0
55,3,159.67,3.0032,0
55,4,115.72,2.7531,0
55,5,111.51,3.0969,0
55,6,101.55,2.738,0
55,7,134.84,2.8934,0
55,8,126.24,3.0163,1
55,9,137.8,3.0012,0
55,10,124.99,2.7724,0
55,11,121.2,3.1387,1
55,12,127.51,2.9123,0
56,1,130.08,3.5665,0
56,2,133.72,3.4279,0
56,3,96.385,3.5226,0
56,4,127.04,3.457,0
56,5,116.69,3.4269,0
56,6,116.24,3.5918,1
56,7,103.51,3.5016,0
56,8,111.61,3.5313,0
56,9,121.56,3.5522,0
56,10,125.4,3.4839,1
56,11,113.09,3.5026,0
56,12,146.4,3.4926,0
57,1,116.61,2.209,0
57,2,104.06,2.2849,1
57,3,123.59,2.0711,1
57,4,127.95,2.3066,0
57,5,111.82,2.028,0
57,6,120.81,2.1137,1
57,7,79.72,1.991,0
57,8,72.981,2.1452,0
57,9,113.03,2.3805,0
57,10,122.36,2.1487,0
57,11,134.66,2.1436,0
57,12,118.32,2.254,0
58,1,108.8,2.9333,1
58,2,117.71,3.1458,0
58,3,131.31,3.1535,0
58,4,128.27,3.025,0
58,5,124.39,3.0157,1
58,6,110.57,3.1669,0
58,7,122.82,3.1252,0
58,8,122.59,3.1992,1
58,9,118.13,3.2679,0
58,10,153.19,3.1523,0
58,11,110.82,3.2322,0
58,12,129.54,3.2119,0
59,1,103.02,4.1204,0
59,2,125.28,4.0535,0
59,3,129.35,4.0041,1
59,4,148.82,4.0494,1
59,5,108.51,3.9795,0
59,6,117.38,4.1125,1
59,7,101.47,3.9012,1
59,8,95.896,4.2098,1
59,9,122.98,4.0881,0
59,10,145.18,4.1221,1
59,11,116.03,3.9579,0
59,12,114.37,4.0423,0
60,1,146.92,3.6662,0
60,2,118.28,3.9038,0
60,3,123.33,3.909,0
60,4,137.84,3.9132,0
60,5,111.72,3.9783,0
60,6,130.69,3.8142,0
60,7,154.97,4.0326,1
60,8,145.32,4.0485,0
60,9,127.29,3.8963,0
60,10,134.36,4.0381,0
60,11,145.08,3.905,0
60,12,121.6,4.145,1
61,1,106.85,3.4442,1
61,2,110.16,3.2908,0
61,3,109.43,3.3341,0
61,4,127.2,3.4507,1
61,5,109.87,3.2832,0
61,6,118.58,3.178,0
61,7,141.36,3.412,1
61,8,98.334,3.3027,0
61,9,102.42,3.3351,0
61,10,57.307,3.4794,0
61,11,106.31,3.6482,1
61,12,120.4,3.4237,0
62,1,104.05,3.2161,0
62,2,102.37,3.1307,0
62,3,117.26,3.3009,1
62,4,151.94,3.0708,1
62,5,130.14,3.1817,0
62,6,119.03,3.2345,0
62,7,138.71,3.1166,1
62,8,105.42,3.2696,0
62,9,131.06,3.2307,0
62,10,124.67,3.2298,0
62,11,89.962,3.21,0
62,12,148.02,3.2353,0
63,1,101.97,1.8331,0
63,2,144.58,1.7666,0
63,3,99.889,1.8814,0
63,4,96.124,1.872,0
63,5,110.53,1.7998,0
63,6,125.94,1.8209,1
63,7,172.57,1.5825,1
63,8,144.94,1.6303,0
63,9,132.55,2.0967,0
63,10,95.237,1.8093,0
63,11,115.28,1.776,0
63,12,119.41,1.7772,0
64,1,144.27,2.7328,0
64,2,130.5,2.75,0
64,3,111.35,2.5854,0
64,4,123.24,2.8111,0
64,5,129.2,2.7358,0
64,6,102.63,2.8677,1
64,7,140.47,2.8515,0
64,8,114.13,2.8588,0
64,9,155.55,2.9974,0
64,10,111.69,2.806,0
64,11,131.96,2.7386,0
64,12,84.469,3.0053,0
65,1,128.68,4.4226,1
65,2,114.84,4.6674,0
65,3,67.626,4.6084,0
65,4,125.54,4.6344,1
65,5,143.73,4.5813,0
65,6,110.47,4.6234,0
65,7,168.34,4.589,1
65,8,74.061,4.6417,0
65,9,183.85,4.5707,0
65,10,133.77,4.666,1
65,11,147.8,4.8954,0
65,12,108.85,4.7365,0
66,1,137.29,3.2923,1
66,2,150.43,3.3194,1
66,3,118.84,3.2964,0
66,4,101.42,3.333,0
66,5,150.42,3.4368,1
66,6,114.83,3.3186,1
66,7,119.86,3.523,1
66,8,63.19,3.424,0
66,9,113.28,3.5671,0
66,10,134.05,3.3392,0
66,11,106.6,3.4149,0
66,12,119.49,3.5137,0
67,1,132.66,2.0447,0
67,2,133.62,1.8435,0
67,3,160.9,2.0723,1
67,4,116.08,1.9862,0
67,5,124.39,2.0397,0
67,6,144.04,2.1255,0
67,7,90.742,2.1936,0
67,8,96.339,2.1783,0
67,9,102.52,2.0704,1
67,10,128.05,1.9953,0
67,11,91.922,2.0869,0
67,12,131.19,2.1263,0
68,1,125.8,1.9624,0
68,2,119.92,1.6664,1
68,3,140.2,1.7515,0
68,4,136.59,1.8375,0
68,5,115.36,1.8655,0
68,6,124.52,1.8563,0
68,7,101.15,1.6549,0
68,8,100.51,1.8316,0
68,9,122.8,1.9367,0
68,10,96.703,1.8158,0
68,11,136.51,1.7501,0
68,12,114.42,2.1036,1
69,1,115.39,3.1745,0
69,2,112.15,3.2628,0
69,3,144.33,3.1814,0
69,4,100.13,3.2492,0
69,5,150.47,3.4227,0
69,6,119.81,3.258,1
69,7,113.72,3.1848,0
69,8,85.836,3.3917,0
69,9,105.09,3.3419,0
69,10,106.17,3.1702,0
69,11,145.22,3.3452,1
69,12,88.035,3.3645,0
70,1,106.17,3.7088,1
70,2,91.919,3.8187,0
70,3,133.31,3.6627,1
70,4,151.22,3.7924,0
70,5,157.7,3.7133,1
70,6,99.954,3.7918,0
70,7,101.21,3.7678,0
70,8,108.04,3.9704,0
70,9,124.78,3.6928,0
70,10,158.94,3.8152,0
70,11,110.35,3.9458,0
70,12,131.43,3.7148,0
71,1,119.07,3.7641,0
71,2,93.033,3.8726,0
71,3,89.214,3.6611,1
71,4,97.114,4.0016,0
71,5,145.85,3.9227,0
71,6,113.43,3.7677,0
71,7,86.134,3.826,1
71,8,148.13,3.89,0
71,9,124.29,3.7958,0
71,10,148.21,3.8663,0
71,11,104.43,3.9497,0
71,12,120.74,3.8085,0
72,1,70.451,2.8476,0
72,2,93.641,2.8454,1
72,3,101.69,2.8803,1
72,4,86.292,2.707,0
72,5,132.93,2.8878,0
72,6,116.02,2.7287,0
72,7,119.65,2.9266,0
72,8,103.09,3.0035,0
72,9,123.08,2.863,0
72,10,141.44,2.9168,1
72,11,140.85,2.6805,0
72,12,151.19,2.739,0
73,1,110.74,2.4551,0
73,2,84.646,2.6043,0
73,3,98.057,2.3987,0
73,4,80.923,2.4826,0
73,5,107.69,2.3602,0
73,6,138.58,2.4655,1
73,7,114.5,2.4937,0
73,8,110.5,2.6801,0
73,9,90.942,2.5744,0
73,10,123.37,2.7182,0
73,11,117.96,2.67,1
73,12,131.12,2.5694,0
74,1,97.693,3.5347,0
74,2,89.859,3.5702,0
74,3,110.75,3.6343,0
74,4,139.01,3.6672,0
74,5,92.458,3.6863,0
74,6,126.66,3.6886,0
74,7,129.33,3.6438,0
74,8,130.25,3.5408,0
74,9,139.14,3.602,0
74,10,142.12,3.6598,0
74,11,108.55,3.5563,0
74,12,115.81,3.552,1
75,1,129.27,2.5132,1
75,2,73.434,2.5334,0
75,3,124.91,2.4984,0
75,4,106.31,2.5828,0
75,5,143.87,2.4542,0
75,6,118.92,2.3946,0
75,7,114.71,2.6064,0
75,8,124.34,2.5647,0
75,9,137.19,2.5216,0
75,10,86.279,2.6784,0
75,11,86.015,2.4422,1
75,12,95.631,2.6582,0
76,1,97.876,4.4929,1
76,2,118.23,4.3406,0
76,3,131.73,4.111,1
76,4,96.468,4.3448,1
76,5,93.737,4.3595,1
76,6,121.31,4.2105,0
76,7,76.603,4.4343,0
76,8,130.65,4.2807,1
76,9,116.94,4.2889,0
76,10,165.59,4.3813,0
76,11,105.73,4.4501,0
76,12,134.43,4.3,0
77,1,106.07,3.4577,0
77,2,92.217,3.4946,0
77,3,115.41,3.519,0
77,4,132.76,3.5954,0
77,5,138.91,3.5435,1
77,6,155.39,3.3374,0
77,7,130.68,3.5551,0
77,8,95.348,3.6028,1
77,9,132.22,3.5452,0
77,10,125.28,3.7086,0
77,11,147.18,3.5811,0
77,12,183.63,3.8034,1
78,1,118.88,4.5536,1
78,2,121.54,4.6622,0
78,3,131.96,4.6296,0
78,4,115.07,4.8067,1
78,5,75.497,4.6484,0
78,6,137.83,4.564,1
78,7,154.57,4.5077,0
78,8,132.2,4.6441,0
78,9,116.41,4.6646,1
78,10,133.06,4.5759,0
78,11,131.95,4.7964,0
78,12,103.65,4.7307,0
79,1,88.755,4.0567,1
79,2,113.03,3.8012,0
