treatment,sales,past_sales,female
1,0,0,0
1,0,0,0
0,0,0,1
0,0,3.81,0
0,0,0,0
0,0,0,0
1,5.41,2.47,0
1,3.29,0,1
1,0,0,1
0,5.11,0,0
0,0,0,1
0,0,0,0
0,9.75,0,1
0,0,0,1
0,0,0,0
1,0,0,1
1,0,0,1
1,0,5.76,0
0,0,0,1
1,0,0,1
1,5.81,0,1
0,9.3,0,0
1,0,4.06,1
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
1,0,6.18,0
0,0,0,1
0,0,0,0
1,4.22,5.29,0
1,0,0,1
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,1
0,0,0,0
0,0,0,1
1,0,0,0
1,10.06,0,0
1,0,7.6,0
0,0,0,0
1,0,0,0
1,0,0,1
0,0,2.56,0
0,12.32,0,0
0,0,0,1
1,0,0,1
0,0,0,0
1,0,0,0
1,0,0,1
1,0,0,1
1,5.2,0,0
1,0,0,0
1,0,0,0
0,0,0,1
1,0,0,0
1,0,0,1
1,5.92,0,0
0,0,0,1
1,0,3.4,0
1,9.38,0,1
0,0,0,0
0,0,0,1
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,4.22,0,1
0,0,0,0
0,9.2,0,0
0,2.75,0,0
1,0,5.78,0
0,0,0,1
0,0,0,1
1,0,0,0
0,0,5.67,0
0,4.3,0,0
1,0,0,0
1,0,0,0
1,0,0,1
0,0,0,1
0,0,0,1
0,0,13.24,1
1,0,0,1
0,0,6.24,0
0,0,9.11,0
0,0,0,0
0,0,0,1
1,0,0,1
1,0,0,0
0,6.65,0,0
1,6.74,0,0
0,0,4.22,0
1,7.22,0,0
0,0,0,1
1,0,0,0
1,0,0,1
0,0,0,1
1,0,0,1
1,0,0,0
1,2.43,2.8,1
1,0,5.91,0
1,0,0,0
0,0,0,0
1,0,0,0
1,0,0,1
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,1
1,0,0,0
1,0,0,1
1,0,0,0
1,0,0,0
1,0,0,1
1,0,0,1
1,2.67,0,1
1,6.74,0,0
1,0,0,1
1,0,0,1
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,2.54,0
0,0,6.95,0
1,0,0,1
0,0,0,0
0,0,0,0
0,3.34,0,1
1,0,0,1
0,0,0,1
1,0,0,1
1,0,0,0
0,8.57,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,1
1,0,0,0
1,0,0,1
1,0,4.6,1
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,1
1,0,0,1
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,1
1,8.33,0,1
0,0,0,1
1,0,0,0
0,5.21,0,0
0,8.82,0,0
0,0,0,1
0,0,10.06,1
1,0,0,0
1,0,0,0
1,0,0,1
0,0,0,1
0,0,0,0
1,0,0,0
0,0,0,1
1,0,0,1
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,0
0,5.74,0,0
1,0,1.98,1
1,5.67,0,0
0,0,0,1
1,0,0,1
1,0,0,0
1,0,0,1
0,0,0,0
0,7.65,0,1
0,0,1.95,0
0,0,0,0
0,0,0,1
1,0,0,1
0,0,0,0
1,0,0,0
0,0,0,0
1,2.88,0,1
0,0,0,1
1,0,0,0
1,0,0,0
0,0,0,1
0,0,0,1
1,0,0,0
0,0,6.74,1
0,0,0,1
1,2.79,0,1
1,0,3.19,1
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,1
0,0,0,0
1,0,0,1
1,0,0,0
0,0,0,0
1,0,2.91,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,1
1,0,0,1
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,1
0,0,0,0
1,0,0,1
1,0,0,1
0,10.86,0,1
1,0,0,1
0,0,0,0
0,0,0,1
1,0,0,0
1,0,0,1
1,0,0,1
0,0,0,0
0,0,0,1
1,0,0,0
0,0,0,1
0,0,0,1
0,0,0,0
0,0,5.32,0
0,0,0,1
0,5.08,0,0
1,0,0,0
1,0,0,1
0,0,0,0
1,6.65,0,0
0,0,0,0
0,0,0,0
1,0,0,1
0,0,0,0
0,0,0,0
1,6.58,0,1
0,0,0,1
0,0,0,1
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,1
1,0,0,0
1,0,0,0
0,0,0,1
1,15.08,0,1
0,0,0,0
1,0,0,0
1,0,0,1
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,1
1,0,6.05,0
0,0,0,1
0,0,0,0
0,0,0,1
0,0,0,1
1,0,0,0
1,0,2.7,1
0,0,0,1
0,0,0,1
0,0,0,0
0,7.73,0,0
0,0,0,1
1,0,0,0
0,0,2.61,1
0,0,0,0
1,12.01,9.49,1
1,0,0,0
1,0,0,0
0,3.27,4.28,0
0,0,0,1
1,0,0,1
1,0,0,1
0,0,6.11,1
1,3.81,0,0
0,0,0,0
0,0,0,0
1,0,0,1
1,2.71,0,0
0,0,12.39,0
1,0,0,0
1,0,0,0
1,0,0,1
1,0,0,1
0,0,0,0
1,0,10.28,1
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
1,0,0,0
0,8.22,0,1
1,0,0,0
1,0,7.53,1
1,0,0,0
1,6.01,0,1
0,10.05,0,1
0,0,0,0
0,0,0,1
0,9.08,0,1
0,0,4.59,0
0,0,0,0
1,3.5,3.17,0
1,0,0,0
1,5.48,0,0
1,0,0,1
0,3.51,0,0
1,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
1,0,0,1
1,0,0,1
0,0,0,0
1,6.7,6.61,0
1,0,0,1
0,0,0,0
0,5.14,0,0
1,0,0,1
1,0,0,0
1,0,0,0
0,0,0,0
1,6.7,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,1
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
1,0,2.12,1
1,6.42,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,1
1,0,0,1
1,0,0,0
0,0,8.39,1
1,0,0,1
0,0,0,1
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
1,0,0,1
0,0,0,0
1,0,0,0
0,0,0,1
0,0,0,0
0,0,0,1
0,0,0,1
0,0,7.97,0
0,0,0,1
1,0,0,0
0,0,0,0
0,0,3.91,0
1,0,0,0
0,0,0,0
0,0,0,1
1,0,0,1
0,0,0,0
0,0,0,1
1,0,0,1
1,0,0,1
0,0,0,1
1,4.78,0,1
0,0,0,0
1,0,0,1
1,0,0,0
1,0,0,1
1,0,0,0
0,0,0,1
1,0,0,0
0,0,0,1
0,0,0,1
0,0,6.4,0
0,0,7.55,0
1,0,0,1
1,0,0,0
1,0,0,0
1,0,0,1
0,0,0,0
0,9.94,0,0
0,0,4.51,1
1,0,0,0
1,0,0,1
0,0,0,0
1,3.51,0,0
1,0,5.34,0
1,0,0,1
0,0,0,0
1,11.56,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
1,0,0,0
1,0,0,0
1,0,0,0
0,6.38,0,1
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,1
0,0,0,1
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,6.08,0,1
0,7.18,2.3,0
1,0,0,1
0,1.88,0,1
1,0,0,1
0,0,0,0
1,0,0,1
0,7.07,0,1
0,0,0,1
1,0,0,0
1,0,0,0
1,0,0,0
1,0,4.39,1
0,0,0,0
0,0,0,1
1,0,0,0
0,0,0,1
1,0,0,0
1,0,0,0
0,0,0,0
0,5.52,0,1
1,0,5.41,0
0,0,4.45,1
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,1
1,0,0,1
1,0,0,1
1,0,0,0
1,0,0,0
1,8.05,0,1
0,0,0,0
1,0,6.96,1
1,0,0,0
0,9.32,2.96,0
0,4.67,3.09,0
0,4.43,2.62,1
1,0,0,0
1,0,0,1
1,0,0,1
0,0,0,0
1,4.19,4.35,0
0,0,0,0
1,0,0,0
1,0,0,0
0,4.77,5.04,0
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,0
1,0,0,1
1,0,0,1
1,0,0,0
1,0,4.45,0
0,0,0.91,0
0,0,0,0
1,0,8.04,0
0,0,0,1
0,0,0,1
0,0,0,0
0,0,3.26,0
0,0,0,0
1,10.94,0,1
1,0,0,1
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,1
1,0,3.55,0
1,0,0,1
0,0,0,0
1,0,6.86,0
0,0,0,1
1,0,0,0
0,0,0,0
1,0,7.99,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,0
1,0,0,0
1,0,3.17,1
0,0,5.29,1
1,0,0,1
1,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
1,0,0,1
0,0,0,0
1,0,0,0
1,0,0,1
0,3.63,0,0
1,0,0,0
0,9.99,0,1
0,0,0,1
1,0,0,1
1,5.75,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
1,0,0,0
1,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
1,13.59,0,0
1,8.15,0,0
1,0,3.84,1
0,0,4.93,0
0,0,0,0
1,6.42,0,1
1,18.04,5.24,0
1,4.37,0,0
1,0,5.85,1
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,8.78,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,1
0,0,0,0
0,0,0,0
0,9.37,0,1
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,1
0,0,0,1
1,0,2.77,1
0,0,0,1
0,0,0,1
0,7.05,0,0
0,0,7.92,0
1,8.79,0,0
0,0,0,1
1,0,0,1
0,0,0,1
1,0,0,0
1,0,0,1
0,0,2.92,0
0,0,0,1
1,0,0,0
1,0,0,1
1,0,0,0
0,0,0,1
0,0,5.25,0
1,4.11,0,0
0,15.44,0,1
1,0,0,1
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,1
1,0,4.68,0
0,0,0,1
0,9.92,0,1
0,0,0,1
1,0,0,0
1,0,5.53,0
0,0,5.68,0
1,0,4.47,0
0,0,0,0
0,0,0,1
1,0,0,0
1,0,0,1
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,7.68,0
0,5.8,0,0
1,0,0,0
0,0,0,1
1,0,0,0
1,0,4.81,1
1,0,0,1
1,0,0,0
1,0,0,1
1,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
1,0,7.1,0
1,0,0,0
0,6.66,0,1
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,6.03,0
1,0,0,0
0,0,0,1
0,0,0,0
0,0,7.89,1
0,0,0,1
1,7.53,2.69,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,1
0,0,7.26,1
0,8.72,0,1
1,0,0,0
1,0,0,0
1,0,0,1
0,0,0,0
1,0,0,1
0,0,0,0
1,2.43,0,1
1,0,0,0
0,0,0,0
0,0,3.39,0
0,0,0,0
0,3.94,0,1
1,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,0
1,0,0,0
1,8.41,0,1
0,0,0,1
1,4.72,0,0
0,0,0,1
1,0,0,1
0,0,0,0
1,0,0,1
1,0,0,0
1,0,0,1
0,0,0,1
0,0,0,0
1,0,0,0
0,7.38,0,1
1,8.04,0,0
0,0,0,0
1,0,0,1
0,2.94,0,0
0,0,0,1
1,0,0,0
1,0,0,1
0,0,0,0
0,5.18,0,0
1,0,0,0
1,5.15,7.75,0
0,0,0,0
1,0,0,1
0,4.87,0,0
1,0,0,0
1,0,0,0
0,0,0,1
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,0
0,0,8.57,0
1,2.63,0,0
0,0,0,1
1,0,5.79,0
1,0,0,1
0,0,0,0
0,0,0,1
0,0,2.76,0
1,5.59,0,1
1,8.69,0,1
1,0,0,0
1,0,0,0
0,0,9.48,0
1,0,0,1
0,0,3.62,0
1,7.11,0,0
1,0,0,1
0,0,1.97,1
0,0,0,0
1,0,0,0
1,0,0,1
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,1
1,0,0,0
0,0,0,0
0,0,0,0
1,0,3.4,0
0,0,0,1
1,0,0,0
0,0,3.08,0
1,0,0,0
1,0,0,0
0,0,0,1
0,0,0,0
1,0,0,0
1,0,0,1
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,1
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,1
1,0,0,0
1,0,4.56,0
1,0,0,1
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,1
1,0,6.13,1
1,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,0
1,0,0,1
1,0,0,1
0,0,0,1
1,0,0,1
1,0,0,0
1,0,0,0
0,13.84,0,1
1,0,0,0
0,0,0,0
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,0
0,0,5.31,0
0,0,0,1
1,0,0,0
1,0,0,1
1,0,0,1
0,0,0,0
0,0,0,1
0,0,0,1
0,0,1.97,0
1,11.79,0,0
1,0,0,1
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
1,0,4.5,0
1,0,0,0
1,0,0,1
1,15.53,0,0
0,0,0,1
0,0,0,1
1,0,0,0
0,0,1.12,1
0,0,0,0
1,0,0,1
1,0,0,1
0,0,0,0
1,0,0,0
0,0,0,1
0,0,5.18,1
1,0,0,0
0,0,5.73,1
0,0,0,0
1,0,0,0
0,9.34,0,0
0,10.01,0,0
1,0,0,0
1,0,0,0
0,0,0,1
0,0,0,1
1,0,3.02,0
1,0,0,0
1,0,0,0
1,0,0,1
1,0,0,0
1,0,0,0
0,0,0,1
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,6.2,7.72,1
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,1
0,0,0,0
1,0,0,1
1,0,0,0
0,0,0,1
1,0,4.07,1
0,0,0,0
0,0,0,0
1,0,0,1
0,0,0,1
0,0,0,0
1,0,0,0
0,0,0,1
1,0,0,0
0,0,0,1
1,0,0,0
0,0,6.32,0
1,0,0,1
0,0,0,1
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,1
1,0,0,0
1,9.35,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,1
1,0,0,1
1,0,0,1
0,9.91,0,0
0,0,0,1
0,0,0,1
1,0,0,1
0,0,0,0
1,0,0,0
1,0,1.91,0
1,0,0,1
1,0,5.42,1
1,0,0,1
0,13.26,0,1
0,0,0,0
0,0,0,1
1,3.24,0,0
1,0,5.55,1
1,0,14.56,1
1,0,0,1
0,0,6.43,0
0,11.32,0,0
0,0,0,1
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,1
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,0
1,0,0,0
0,0,0,1
1,0,0,1
0,0,0,0
0,0,0,0
0,0,0,1
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,2.8,1
1,0,0,0
1,0,0,1
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
1,0,6.18,0
1,0,0,0
0,0,0,1
1,0,0,0
0,0,0,1
0,0,0,0
1,0,0,1
0,0,0,0
1,0,0,0
1,0,8.62,1
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,5.94,0,0
1,0,6.2,0
1,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,3.54,0,0
1,4.33,0,0
0,0,0,1
0,0,0,1
1,0,0,0
1,0,0,1
1,0,0,1
0,0,0,0
0,0,0,1
1,0,0,1
0,0,0,1
1,0,0,1
0,5.42,5.02,0
0,0,0,0
0,5.59,17.07,0
0,0,0,0
0,0,7.47,1
1,0,0,0
1,0,0,1
0,0,0,1
1,0,0,1
1,0,0,1
0,0,0,1
1,0,0,0
0,0,0,0
1,0,4.17,0
1,0,0,1
1,0,0,1
1,0,2.14,0
0,0,0,0
1,0,0,1
1,0,0,0
1,0,0,1
0,0,0,1
1,0,0,0
1,0,5.02,0
0,0,0,1
1,8.6,0,1
1,4.57,0,1
0,0,0,0
0,0,0,1
0,0,0,0
1,0,2.26,0
0,0,0,1
0,0,0,0
0,0,0,1
1,13.69,0,1
0,0,0,0
1,7.08,0,0
1,6.5,0,0
0,0,0,1
0,0,0,1
1,0,0,1
0,0,0,0
1,0,5.19,1
0,0,0,0
0,0,6.2,1
1,0,0,1
1,0,0,0
0,0,4.32,0
0,0,8.6,1
0,0,0,1
0,0,0,0
1,0,2.42,0
0,18.42,0,1
0,0,0,0
0,0,0,0
0,0,0,1
1,0,0,0
1,0,0,0
0,0,0,1
1,0,3.91,0
0,0,0,0
1,0,0,1
0,0,0,1
0,5.8,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
1,0,3.01,0
1,0,0,0
1,0,0,1
0,0,0,1
1,0,0,0
1,0,0,1
1,0,0,1
0,0,0,1
0,0,9.64,0
0,0,0,0
0,0,0,0
0,2.9,0,1
1,0,0,1
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,1
1,0,0,1
1,0,0,0
1,0,0,0
0,0,0,1
1,0,0,1
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,1
0,0,6.66,0
0,7.02,0,1
0,0,0,0
0,0,0,0
1,21.86,0,0
0,0,0,0
1,0,0,0
1,0,0,1
1,0,0,1
1,0,0,0
0,0,0,1
0,11.04,0,1
1,0,0,0
0,0,0,0
0,0,0,1
0,7.35,0,0
0,0,0,0
1,5.87,0,1
0,0,0,1
1,7.33,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,1
0,13,5.92,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,2.6,0
1,0,0,0
0,0,0,1
0,0,0,1
1,0,0,1
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,3.06,0
1,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,6.1,0,1
0,5.54,0,0
1,0,0,0
0,0,0,1
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,4.14,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,1
0,0,0,1
1,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
1,0,7.11,1
0,3.93,0,0
1,0,6.21,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,1
0,0,0,1
1,0,0,0
0,0,0,1
0,0,5.91,0
0,0,0,1
0,0,0,0
1,0,0,0
0,0,9.55,0
0,0,0,0
0,0,0,1
1,0,0,1
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,1
1,0,0,1
0,0,0,0
0,10.58,0,1
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,1.96,1
0,0,0,0
1,0,0,0
1,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
1,0,0,1
0,0,0,1
0,0,0,0
0,0,3.25,1
1,9.16,0,0
0,0,0,1
0,0,0,0
1,0,0,1
1,0,0,1
1,0,0,0
1,0,0,0
1,0,0,1
0,0,0,0
0,0,0,1
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,1
1,0,0,1
0,0,0,1
0,0,5.24,1
1,10.84,0,0
1,0,0,0
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,0
1,12.4,0,0
0,0,0,0
0,3.56,0,0
0,0,0,1
0,0,0,1
1,0,0,1
1,0,0,1
0,0,0,0
1,0,0,1
1,0,0,0
0,0,0,1
0,0,0,1
1,0,0,1
1,0,3.02,0
1,0,0,1
0,0,0,1
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,1
1,0,0,1
1,3.08,4.48,1
0,0,0,0
0,0,0,1
1,0,0,0
1,0,0,0
1,0,0,1
1,0,0,1
1,0,0,1
0,0,2.61,0
0,0,0,1
1,0,3.71,0
0,2.19,0,0
0,0,0,0
1,0,0,0
1,7.65,0,0
1,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,1
0,0,0,0
0,0,3.67,1
1,0,0,1
1,0,0,1
1,9.69,8.21,0
1,0,0,0
1,0,0,1
1,0,0,0
1,0,0,0
1,0,6.09,0
1,0,0,1
0,0,0,0
0,0,6.54,1
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,7.01,0,0
0,0,0,0
0,0,5.49,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,1
1,3.2,0,0
0,0,0,0
0,0,0,1
1,0,0,0
1,0,0,1
0,0,0,1
0,0,0,0
1,0,0,1
1,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
1,5.34,0,0
1,0,0,0
1,0,0,1
1,0,0,0
1,0,0,1
0,0,0,1
1,0,0,0
0,0,0,0
1,0,0,0
0,4.48,0,0
0,0,0,1
0,0,0,1
1,0,0,0
1,0,0,0
0,0,0,1
0,0,3.01,1
0,0,0,0
1,0,0,0
0,0,0,1
0,0,0,0
1,5.33,5.26,0
0,0,0,0
1,0,0,0
1,0,2.83,0
1,0,0,1
0,3.45,0,0
1,0,0,0
0,0,0,0
1,0,0,1
0,0,0,0
1,0,0,0
0,0,0,1
0,0,0,0
0,0,0,1
1,0,0,0
0,0,4.16,0
0,5.18,0,0
1,16.58,0,1
1,0,0,1
0,0,0,1
1,0,0,1
1,0,0,0
0,0,0,0
0,0,3.91,1
1,0,0,1
0,0,0,1
0,6.54,0,0
0,0,0,1
1,0,0,0
1,17.79,0,0
0,0,0,1
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
1,9.55,0,0
0,0,0,1
1,0,0,0
0,0,0,0
1,0,0,0
1,0,0,1
0,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
1,0,2.36,1
0,0,0,1
0,16.64,0,0
1,0,0,1
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,1
1,0,0,0
0,0,0,1
1,4.86,0,0
1,0,0,1
0,0,0,1
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,1
1,0,0,0
1,0,0,0
0,0,0,0
1,0,0,1
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,1
0,0,0,1
1,0,0,1
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,1
0,0,0,1
0,0,0,0
0,0,0,1
0,2.67,0,0
0,0,0,0
1,0,0,0
0,0,2.23,0
1,0,18.21,1
0,0,0,1
1,0,0,0
1,0,0,0
0,0,0,1
1,4.98,0,0
1,0,0,0
