id,loyalty,feat.sunshine,feat.keebler,feat.nabisco,feat.private,price.sunshine,price.keebler,price.nabisco,price.private,choice
6,1,0,0,0,0,0.98,1.21,1.19,0.55,private
6,1,0,0,0,0,0.98,1.19,1.29,0.55,private
6,1,0,0,0,0,0.98,1.19,1.29,0.55,private
6,1,0,0,0,0,0.79,1.21,1.09,0.55,private
6,0,0,0,0,0,0.79,1.21,1.09,0.55,private
6,1,0,0,0,0,1.09,1.21,1.29,0.59,private
6,1,0,0,0,0,0.89,1.21,0.99,0.59,private
6,0,0,0,0,0,1.09,1.09,1.29,0.59,private
6,0,0,0,0,0,0.95,1.19,1.29,0.59,private
6,0,0,0,0,0,1.09,1.22,1.29,0.59,private
6,0,0,0,0,0,1.29,1.04,1.23,0.59,private
7,1,0,0,0,0,0.79,0.99,0.69,0.69,nabisco
7,0,0,1,0,0,0.89,0.89,0.99,0.61,keebler
7,0,0,0,0,0,0.96,1.19,0.49,0.68,nabisco
7,0,0,0,0,1,0.79,1.25,1.06,0.49,sunshine
7,0,0,0,1,0,0.93,0.99,0.98,0.58,keebler
7,0,0,0,0,0,0.97,1.15,0.99,0.61,nabisco
7,1,0,1,0,0,1.09,1.19,1.15,0.73,nabisco
7,0,0,0,0,0,1.09,1.35,1.29,0.79,nabisco
7,1,0,0,0,0,1.05,1.29,1.25,0.61,nabisco
7,0,0,0,0,0,1.09,1.21,0.99,0.84,nabisco
7,1,0,0,0,0,1.19,1.29,1.29,0.89,keebler
7,0,0,0,0,0,0.93,1.12,0.98,0.63,nabisco
7,0,0,0,0,0,1.19,1.29,1.29,0.89,nabisco
7,0,0,0,0,0,1.09,1.21,0.59,0.82,nabisco
7,0,0,0,0,0,1.09,1.21,0.59,0.82,nabisco
7,0,0,1,0,0,1.05,0.99,1.25,0.61,keebler
7,1,0,0,0,0,1.05,1.29,0.99,0.61,nabisco
8,0,0,0,0,0,0.69,0.88,1.20,0.71,nabisco
8,1,0,0,0,0,0.99,1.09,0.99,0.71,nabisco
8,1,0,0,0,0,0.79,1.09,1.09,0.78,nabisco
8,1,0,0,0,0,0.99,1.09,0.89,0.78,nabisco
8,1,0,0,0,0,0.79,1.05,0.99,0.78,nabisco
8,1,0,0,0,0,0.98,1.05,1.09,0.78,nabisco
8,1,0,0,0,0,0.98,1.09,0.89,0.78,nabisco
8,1,0,0,0,0,0.89,1.15,0.89,0.79,nabisco
8,1,0,0,0,0,1.03,1.09,1.19,0.64,nabisco
8,1,0,0,0,0,1.09,1.09,1.19,0.64,nabisco
8,1,0,0,0,0,1.09,1.09,1.19,0.78,nabisco
8,1,0,0,0,0,0.98,1.19,0.99,0.78,nabisco
8,1,0,0,0,0,0.98,1.19,0.99,0.78,nabisco
8,1,0,0,0,0,0.98,1.09,1.29,0.78,nabisco
8,1,0,0,0,0,0.98,1.21,1.19,0.64,nabisco
8,1,0,0,0,0,0.98,1.21,1.19,0.64,nabisco
8,1,0,0,0,0,0.98,1.19,1.29,0.78,nabisco
8,0,0,0,0,0,0.79,1.21,1.09,0.78,nabisco
8,0,0,0,0,0,0.79,1.21,1.09,0.88,nabisco
8,0,0,0,0,0,1.09,1.21,1.29,0.79,nabisco
8,0,0,0,0,0,1.09,1.09,1.09,0.96,nabisco
8,0,0,0,0,0,1.09,1.21,1.29,0.93,nabisco
8,0,0,0,0,0,1.09,1.21,1.09,0.86,nabisco
8,0,0,1,0,0,0.89,1.09,1.29,0.96,nabisco
8,0,0,0,0,0,0.95,1.25,0.99,0.82,nabisco
8,0,0,0,0,0,1.29,1.04,1.29,0.96,nabisco
9,0,0,0,0,0,0.49,1.09,1.09,0.78,sunshine
9,0,0,0,0,0,0.49,1.09,1.09,0.78,sunshine
9,0,0,0,0,0,1.03,1.09,1.19,0.64,sunshine
9,0,0,0,0,0,1.09,1.09,1.19,0.78,sunshine
9,0,0,0,0,0,0.89,1.09,1.19,0.84,sunshine
9,0,0,0,0,0,1.09,1.09,1.29,0.89,private
9,1,0,0,0,0,0.96,1.39,1.15,0.68,nabisco
9,1,0,0,0,0,0.79,1.21,1.19,0.64,sunshine
9,1,1,0,0,0,0.79,1.21,1.09,0.78,sunshine
9,1,0,0,0,0,0.79,1.21,1.09,0.88,sunshine
9,1,0,0,0,0,0.79,1.21,1.09,0.88,sunshine
9,1,0,0,0,0,1.09,1.21,1.29,0.79,nabisco
9,1,0,0,0,0,1.09,1.21,1.09,0.84,sunshine
9,1,0,0,1,0,0.89,1.21,0.99,0.86,nabisco
9,1,0,0,0,0,0.89,1.21,0.99,0.86,sunshine
9,1,0,0,0,0,1.09,1.09,1.29,0.96,keebler
9,1,0,0,1,0,0.96,1.39,1.09,0.68,nabisco
9,1,0,0,0,0,1.09,1.09,1.29,0.79,sunshine
9,1,0,0,0,0,1.29,1.04,1.29,0.96,sunshine
10,1,0,0,0,0,0.69,0.88,1.20,0.71,nabisco
10,1,0,0,0,0,0.98,0.99,0.99,0.71,nabisco
10,1,0,0,0,0,0.99,1.09,0.89,0.71,nabisco
10,1,0,0,0,0,0.99,1.09,0.99,0.71,nabisco
10,1,0,0,0,0,0.49,1.09,1.09,0.78,nabisco
10,1,0,0,0,0,0.49,1.09,1.09,0.78,nabisco
10,1,0,0,0,0,0.59,1.09,0.89,0.78,nabisco
10,1,0,0,0,0,0.79,1.09,0.89,0.78,nabisco
10,1,0,0,0,0,0.79,1.05,1.09,0.78,nabisco
10,1,0,0,0,0,0.79,1.09,0.89,0.78,nabisco
10,1,0,0,0,0,1.03,1.09,0.89,0.78,nabisco
10,1,0,0,0,0,1.03,1.09,1.19,0.64,nabisco
10,1,0,0,0,0,1.09,1.09,1.19,0.64,nabisco
10,1,0,0,0,0,0.99,1.09,1.19,0.71,nabisco
10,1,0,0,0,0,0.89,1.09,1.19,0.84,nabisco
10,1,0,0,0,0,0.89,1.09,1.19,0.78,nabisco
10,1,0,0,0,0,0.89,1.19,0.99,0.78,nabisco
10,1,0,0,1,0,1.09,1.21,1.19,0.69,private
10,1,0,0,1,1,0.97,1.15,1.09,0.57,nabisco
10,1,0,0,0,0,0.79,1.21,1.19,0.64,nabisco
10,1,0,0,0,0,0.79,1.19,1.29,0.78,nabisco
10,1,0,0,0,0,1.09,1.19,1.29,0.89,private
10,1,0,0,0,0,1.09,1.21,1.09,0.78,nabisco
10,1,1,0,0,0,0.79,1.21,0.84,0.78,nabisco
10,1,0,0,1,0,0.97,1.25,1.09,0.60,nabisco
10,1,0,0,0,0,0.79,1.21,1.09,0.78,nabisco
10,1,0,0,0,0,0.79,1.21,1.09,0.88,nabisco
10,1,0,0,0,0,0.79,1.21,1.09,0.88,nabisco
10,0,0,0,0,0,1.09,1.21,1.09,0.79,nabisco
10,0,0,0,0,0,1.09,1.21,1.29,0.79,nabisco
10,0,0,0,0,0,0.97,1.25,1.00,0.65,nabisco
10,0,0,0,0,0,1.09,1.21,1.09,0.92,nabisco
10,0,0,0,0,0,1.05,1.25,0.99,0.65,nabisco
10,0,0,0,0,0,1.05,1.25,0.99,0.65,nabisco
10,0,0,0,0,0,1.09,1.21,0.99,0.86,nabisco
10,0,0,0,0,0,0.95,1.25,0.99,0.82,nabisco
10,0,0,0,0,0,1.05,1.29,1.29,0.59,nabisco
10,0,0,0,0,0,1.05,1.29,0.99,0.59,nabisco
10,0,0,0,0,0,1.05,1.29,0.99,0.59,nabisco
10,0,0,0,0,0,0.95,1.04,0.99,0.72,nabisco
10,0,0,0,0,0,1.29,1.04,1.29,0.96,nabisco
11,1,0,0,0,0,0.89,0.99,0.89,0.65,nabisco
11,1,0,0,0,1,0.89,0.99,0.89,0.50,nabisco
11,1,0,1,0,0,0.89,0.89,0.99,0.61,nabisco
11,1,0,0,0,1,0.89,0.99,0.89,0.50,nabisco
11,1,0,0,1,0,0.89,0.99,0.89,0.65,nabisco
11,1,0,0,0,0,0.89,0.99,0.89,0.65,nabisco
11,1,0,0,0,0,0.89,0.99,1.05,0.65,nabisco
11,1,0,0,1,0,0.89,1.05,0.89,0.65,nabisco
11,1,0,0,0,0,0.89,1.02,1.05,0.65,nabisco
11,1,0,0,1,0,0.89,1.02,0.89,0.49,nabisco
11,1,1,1,0,0,0.88,0.99,1.15,0.65,keebler
11,1,0,0,0,0,1.09,1.09,1.29,0.78,nabisco
11,1,0,0,0,0,0.88,1.15,1.09,0.65,nabisco
11,1,0,0,0,0,0.88,0.99,1.25,0.65,keebler
11,1,0,0,0,0,0.88,1.25,0.74,0.65,nabisco
11,1,0,0,0,0,0.79,1.21,1.09,0.78,nabisco
11,1,0,0,0,0,0.97,1.25,1.25,0.65,nabisco
11,1,0,0,1,0,0.97,1.25,1.09,0.65,nabisco
11,1,0,0,1,0,0.97,1.17,1.09,0.65,nabisco
11,1,0,0,0,0,1.05,1.25,0.99,0.65,nabisco
11,1,0,0,1,0,1.05,1.25,0.99,0.65,nabisco
11,1,0,0,0,0,1.05,1.17,1.29,0.59,private
11,1,0,0,0,0,0.95,1.25,0.99,0.59,private
11,1,0,0,0,0,1.05,1.17,0.99,0.65,nabisco
11,1,0,0,0,0,1.05,0.99,0.99,0.65,nabisco
11,1,0,0,0,1,1.24,1.05,0.98,0.38,private
12,1,0,0,0,0,0.98,0.88,0.89,0.55,private
12,1,0,0,0,0,0.99,0.99,1.09,0.55,private
12,1,1,0,0,0,0.49,1.09,1.09,0.55,private
12,1,0,0,0,0,0.59,1.09,0.89,0.55,private
12,1,0,0,0,0,0.99,1.05,1.09,0.55,private
12,1,0,0,0,0,0.79,1.05,1.09,0.55,private
12,1,0,0,0,0,1.03,1.09,0.89,0.55,private
12,1,0,0,0,0,1.03,1.09,0.89,0.55,private
12,1,0,0,0,0,1.03,1.09,1.19,0.55,private
12,1,0,0,0,0,1.09,1.09,1.19,0.55,private
12,1,0,0,0,0,1.09,1.09,1.19,0.55,private
12,1,0,0,0,0,0.99,1.09,1.19,0.55,private
12,1,0,0,0,0,1.09,1.19,0.99,0.55,private
12,1,0,0,0,0,0.89,1.09,1.19,0.55,private
12,1,0,0,0,0,1.09,1.09,1.29,0.55,private
12,1,0,0,0,0,1.09,1.09,1.29,0.55,private
12,1,0,0,1,0,1.09,1.21,1.19,0.55,private
12,0,0,0,0,0,0.79,1.21,1.19,0.55,private
12,0,0,0,0,0,0.79,1.21,1.19,0.55,private
12,0,0,0,0,0,0.79,1.19,1.29,0.78,sunshine
12,0,0,0,0,0,1.09,1.19,1.29,0.55,private
12,0,0,0,0,0,1.09,1.19,1.29,0.55,private
12,0,0,0,0,0,1.09,1.21,1.09,0.55,private
12,0,0,0,0,0,0.79,1.21,1.09,0.55,private
12,0,0,0,0,0,0.79,1.21,1.09,0.59,private
12,0,0,0,0,0,1.09,1.21,1.09,0.59,private
12,0,0,0,0,0,1.09,1.21,1.29,0.59,private
12,0,0,0,0,0,1.09,1.21,1.29,0.59,private
12,0,0,0,0,0,1.09,1.09,1.09,0.59,private
12,0,0,0,0,0,0.98,1.13,1.11,0.59,private
12,0,0,0,0,0,1.09,1.13,1.09,0.59,private
12,0,0,0,0,0,1.09,1.20,1.19,0.59,private
12,0,0,0,0,0,1.09,1.21,1.29,0.59,private
12,0,0,0,0,0,1.09,1.21,1.29,0.59,private
12,0,0,0,0,0,1.09,1.21,1.09,0.59,private
12,0,0,0,0,0,1.09,1.21,1.09,0.59,private
12,0,0,0,0,0,1.09,1.21,1.09,0.59,private
12,0,1,0,0,0,0.89,1.21,0.99,0.59,private
12,0,0,0,0,0,0.89,1.21,0.99,0.59,private
12,0,0,1,0,0,0.89,1.20,1.29,0.59,private
12,0,0,0,0,0,1.09,1.15,1.29,0.59,private
12,0,0,0,0,0,1.09,1.04,1.29,0.59,private
12,1,0,0,0,0,1.09,1.04,1.29,0.59,private
12,1,0,0,0,0,1.09,1.25,0.99,0.59,private
12,1,0,0,0,0,0.95,1.25,0.99,0.59,private
12,1,0,0,0,0,0.95,1.21,0.99,0.59,private
12,1,0,0,0,0,0.95,1.19,1.29,0.59,private
12,1,0,0,0,0,1.09,1.09,1.29,0.59,private
12,1,0,0,0,0,1.09,1.21,1.29,0.59,private
12,1,0,0,0,0,1.09,1.04,0.99,0.59,private
12,1,0,0,0,0,0.95,1.04,0.99,0.59,private
12,1,0,0,0,0,1.29,1.04,1.29,0.59,private
12,1,0,0,0,1,1.24,1.05,0.98,0.38,private
13,1,0,0,0,0,0.69,0.88,0.89,0.55,private
13,1,0,0,0,0,0.49,1.09,1.09,0.55,private
13,1,0,0,0,0,0.99,1.09,0.89,0.55,private
13,1,0,0,0,0,0.79,1.05,1.09,0.55,private
13,1,0,0,0,0,0.79,1.05,1.09,0.78,sunshine
13,1,0,0,0,0,1.03,1.09,1.19,0.55,private
13,1,0,0,0,0,0.99,1.09,1.19,0.55,private
13,0,0,0,0,0,1.09,1.19,0.99,0.55,private
13,0,0,0,0,0,0.89,1.19,0.99,0.55,private
13,0,0,0,0,0,1.09,1.09,1.29,0.55,private
13,0,0,0,0,0,1.09,1.19,1.29,0.55,private
13,0,1,0,0,0,0.79,1.21,1.09,0.55,private
13,0,0,0,0,0,1.09,1.21,1.29,0.59,private
13,0,1,0,0,0,0.89,1.21,0.99,0.59,private
13,0,0,0,0,0,1.09,1.09,1.29,0.59,private
13,0,0,0,0,1,1.24,1.05,0.98,0.38,private
14,0,0,0,0,0,0.73,0.93,0.69,0.68,nabisco
14,0,1,0,0,0,0.49,0.99,0.95,0.69,sunshine
14,0,0,0,0,0,0.89,0.99,1.13,0.69,private
14,0,1,0,0,0,0.89,0.99,0.00,0.69,nabisco
14,0,0,0,0,0,0.89,0.99,0.89,0.79,nabisco
14,0,0,0,0,0,0.93,0.88,0.00,0.59,nabisco
14,0,0,0,0,0,0.93,0.98,1.09,0.58,nabisco
14,0,0,0,0,1,0.79,1.25,1.06,0.49,private
14,0,0,0,0,0,0.89,1.09,1.19,0.84,sunshine
14,0,0,0,0,0,0.98,1.19,0.74,0.78,nabisco
14,0,0,0,0,0,1.09,1.09,1.29,0.89,private
14,0,0,0,0,0,0.79,1.15,1.14,0.69,private
14,0,0,0,0,0,0.98,1.21,1.19,0.55,private
14,0,0,0,0,0,0.79,1.21,1.19,0.64,sunshine
14,0,0,0,0,0,0.79,1.19,1.29,0.55,private
14,0,0,0,0,0,0.79,1.21,1.09,0.55,private
14,0,0,0,0,0,0.79,1.21,1.09,0.55,private
14,0,0,0,0,0,1.09,1.35,1.29,0.73,private
14,0,0,0,0,0,1.09,1.21,1.29,0.59,private
14,0,0,0,1,0,1.09,1.09,1.09,0.65,private
14,0,0,0,0,0,1.09,1.29,1.25,0.65,private
14,0,0,0,0,0,1.05,1.29,0.99,0.61,nabisco
14,0,0,0,0,0,1.09,1.09,1.29,0.59,private
14,0,0,0,0,0,1.09,1.09,1.29,0.59,private
14,0,0,0,0,0,1.09,1.16,1.29,0.89,private
14,0,0,0,0,0,1.09,1.04,0.99,0.59,private
14,0,0,0,0,0,1.05,1.29,1.29,0.65,private
14,0,0,0,0,0,1.29,1.04,1.23,1.15,private
15,0,0,0,0,0,0.85,0.98,0.89,0.68,nabisco
15,0,0,0,0,0,0.89,0.99,0.89,0.61,nabisco
15,0,0,0,0,0,0.89,0.99,0.89,0.69,nabisco
15,1,0,0,0,0,0.89,0.99,0.89,0.69,nabisco
15,1,0,0,0,0,0.69,1.09,0.89,0.61,nabisco
15,1,0,0,0,0,0.93,0.99,1.09,0.58,keebler
15,1,0,0,0,1,0.79,1.15,0.99,0.53,nabisco
15,1,0,0,1,0,0.79,1.15,0.99,0.61,nabisco
15,1,0,0,0,0,0.79,1.25,0.99,0.69,nabisco
15,1,0,0,0,0,0.97,0.99,1.19,0.61,keebler
15,1,0,0,0,0,0.79,1.25,0.99,0.69,nabisco
15,1,0,0,0,0,0.97,1.15,0.99,0.61,nabisco
15,1,0,0,0,0,0.97,1.15,0.99,0.61,nabisco
15,1,0,1,1,0,1.09,0.99,0.95,0.68,nabisco
15,1,1,0,0,0,0.79,1.35,1.29,0.65,sunshine
15,1,0,0,0,0,0.88,1.19,1.08,0.58,nabisco
15,1,0,0,0,0,0.93,1.19,1.08,0.58,nabisco
15,1,0,0,0,0,1.05,1.25,0.99,0.61,nabisco
15,1,0,0,1,0,1.09,1.25,0.89,0.68,nabisco
15,1,0,0,0,0,1.19,1.09,1.29,0.68,nabisco
15,1,0,0,0,0,1.19,1.25,1.04,0.68,nabisco
16,1,0,0,0,0,0.85,0.88,1.03,0.68,nabisco
16,1,0,0,0,0,0.85,1.08,0.89,0.68,nabisco
16,1,0,0,0,0,0.85,1.08,0.89,0.68,nabisco
16,1,0,0,0,0,0.79,1.08,0.89,0.68,nabisco
16,1,0,0,0,0,0.79,1.25,0.99,0.69,nabisco
16,1,0,0,0,0,0.78,1.35,0.99,0.65,nabisco
16,1,0,0,0,0,0.78,1.35,1.09,0.65,nabisco
16,1,0,0,1,0,1.09,1.24,1.09,0.68,nabisco
16,1,0,0,0,0,1.09,1.09,1.09,0.96,nabisco
16,1,0,0,0,0,1.19,1.35,1.29,0.89,nabisco
16,1,0,0,1,0,1.19,1.35,1.09,0.89,nabisco
16,1,0,0,1,0,0.96,1.39,0.69,0.68,nabisco
16,1,0,0,1,0,0.89,1.25,0.89,0.68,nabisco
16,1,0,0,0,0,1.09,1.16,1.29,0.79,nabisco
16,1,0,0,0,0,1.19,1.25,0.89,0.68,nabisco
17,1,0,0,0,0,0.69,0.88,0.89,0.79,private
17,1,0,0,0,0,0.69,0.88,1.09,0.79,private
17,1,0,0,0,0,0.99,1.09,0.99,0.79,private
17,1,0,0,0,0,0.99,1.09,0.99,0.79,private
17,1,1,0,0,0,0.49,1.09,1.09,0.89,private
17,1,1,0,0,0,0.49,1.09,1.09,0.89,private
17,1,0,0,0,0,1.03,1.09,0.89,0.89,private
17,1,0,0,0,0,1.03,1.09,0.89,0.78,keebler
17,1,0,0,0,0,0.79,1.05,1.09,0.89,private
17,1,0,0,0,0,0.98,1.05,1.09,0.78,keebler
17,1,0,0,0,0,0.98,1.09,0.89,0.64,keebler
17,1,0,0,0,0,0.98,1.09,0.89,0.62,private
17,1,0,0,0,0,1.09,1.09,1.19,0.89,private
17,1,0,0,0,0,0.98,1.19,0.99,0.89,private
17,1,0,0,0,0,0.98,1.09,1.29,0.89,private
17,1,0,0,0,0,0.98,1.21,1.19,0.69,private
17,1,0,0,0,0,0.98,1.21,1.19,0.69,private
17,1,0,0,0,0,0.98,1.19,1.29,0.89,private
17,1,1,0,0,0,0.79,1.21,1.09,0.89,private
17,1,0,0,0,0,1.09,1.21,1.19,0.89,private
17,1,0,0,0,0,1.09,1.21,1.29,0.89,private
17,1,0,0,0,0,1.09,1.21,1.29,0.89,private
17,1,0,0,0,0,1.09,1.21,1.09,0.86,nabisco
17,1,0,0,0,0,1.09,1.21,0.99,0.84,nabisco
17,1,0,0,1,0,0.89,1.21,0.99,0.86,nabisco
17,1,0,0,0,0,1.09,1.21,0.99,0.89,private
17,1,0,0,0,0,0.95,1.19,1.29,0.89,private
17,1,0,0,0,0,1.09,1.18,1.29,0.89,private
17,1,0,0,0,0,1.09,1.04,0.99,0.79,private
18,1,0,0,0,0,0.89,0.99,1.05,0.65,private
18,1,0,0,1,0,0.89,1.02,0.89,0.65,private
18,1,0,0,0,0,0.98,1.09,0.89,0.69,private
18,1,0,0,0,1,0.89,1.07,1.15,0.50,private
18,1,0,1,0,0,0.79,0.99,1.19,0.61,keebler
18,1,0,0,0,0,0.99,1.19,0.99,0.79,private
18,1,0,0,0,1,0.89,1.15,0.99,0.50,private
18,1,0,0,0,0,0.93,0.98,0.98,0.58,nabisco
18,1,0,0,0,0,0.97,1.09,1.15,0.50,private
18,1,0,0,0,0,0.93,0.99,0.98,0.58,keebler
18,1,0,0,1,0,1.09,1.21,1.19,0.69,private
18,1,0,0,0,0,0.88,1.09,1.05,0.58,sunshine
18,1,0,0,0,0,0.88,0.98,1.03,0.58,sunshine
18,1,0,1,0,0,0.97,0.99,1.25,0.60,sunshine
18,1,0,1,0,0,0.97,0.99,1.25,0.60,keebler
18,1,0,0,1,0,0.97,1.25,1.09,0.60,sunshine
18,1,0,0,1,0,0.97,1.09,1.09,0.65,private
18,1,0,0,0,1,0.97,1.09,1.09,0.50,private
18,1,0,0,0,1,0.97,1.09,1.09,0.50,private
18,1,0,0,0,0,1.01,1.25,1.25,0.65,private
18,1,0,0,0,0,1.05,1.25,0.99,0.65,nabisco
18,1,0,0,0,1,1.05,1.25,0.99,0.50,nabisco
18,1,0,0,0,0,1.05,1.25,0.99,0.65,nabisco
18,1,0,0,0,0,1.05,1.17,1.29,0.65,private
18,1,0,0,0,0,1.05,1.17,1.29,0.65,private
18,1,0,0,0,0,1.05,1.25,0.99,0.59,nabisco
18,1,0,0,0,0,1.05,1.25,0.99,0.59,nabisco
18,1,0,0,0,0,0.95,1.21,0.99,0.82,nabisco
18,1,0,0,0,0,1.05,0.99,1.29,0.59,keebler
18,1,0,0,0,0,1.09,1.22,1.29,0.79,private
